iter	Passed	Remaining
0	2	1408
1	4	1083
2	6	996
3	7	950
4	9	909
5	10	878
6	12	870
7	13	852
8	15	843
9	17	833
10	18	824
11	20	815
12	21	807
13	23	812
14	24	803
15	26	799
16	27	793
17	29	786
18	31	794
19	33	792
20	34	790
21	36	787
22	37	783
23	39	782
24	40	778
25	42	773
26	43	770
27	45	766
28	46	761
29	48	759
30	50	756
31	51	754
32	53	752
33	54	750
34	56	749
35	57	746
36	59	744
37	61	743
38	62	741
39	64	739
40	65	738
41	67	735
42	68	732
43	70	728
44	71	727
45	73	726
46	75	724
47	76	722
48	78	721
49	79	719
50	81	720
51	83	718
52	84	716
53	86	716
54	88	714
55	90	713
56	91	714
57	93	712
58	94	709
59	96	706
60	98	705
61	99	704
62	101	701
63	102	698
64	104	698
65	105	696
66	107	693
67	109	693
68	110	692
69	112	691
70	114	692
71	116	689
72	117	686
73	119	685
74	120	683
75	122	681
76	123	679
77	125	678
78	126	675
79	128	672
80	129	671
81	131	669
82	132	667
83	134	665
84	135	663
85	137	661
86	139	660
87	140	657
88	141	655
89	143	654
90	145	653
91	146	651
92	148	650
93	150	648
94	151	646
95	153	645
96	155	644
97	156	642
98	158	641
99	159	639
100	161	638
101	163	637
102	164	635
103	166	633
104	167	631
105	169	629
106	171	628
107	172	626
108	173	624
109	175	622
110	177	620
111	178	618
112	180	616
113	181	615
114	183	613
115	184	611
116	186	610
117	188	609
118	190	609
119	191	607
120	193	605
121	194	604
122	196	602
123	198	601
124	199	598
125	201	597
126	202	595
127	204	593
128	205	592
129	207	590
130	208	588
131	210	586
132	212	585
133	213	583
134	215	581
135	216	579
136	218	578
137	219	576
138	221	575
139	223	573
140	224	572
141	226	570
142	227	568
143	229	567
144	230	565
145	232	563
146	233	561
147	235	559
148	236	558
149	238	556
150	240	554
151	241	553
152	243	551
153	244	550
154	246	548
155	247	546
156	249	544
157	250	543
158	252	541
159	254	541
160	256	539
161	257	537
162	259	535
163	260	534
164	262	532
165	263	530
166	265	529
167	267	529
168	269	527
169	270	525
170	272	523
171	273	522
172	275	520
173	276	518
174	278	517
175	280	515
176	282	515
177	283	513
178	286	513
179	288	512
180	289	510
181	291	509
182	293	507
183	294	506
184	296	504
185	297	502
186	299	501
187	300	499
188	302	497
189	304	496
190	305	494
191	307	492
192	308	491
193	310	489
194	312	488
195	313	486
196	315	484
197	316	482
198	318	481
199	319	479
200	321	478
201	322	476
202	324	474
203	325	472
204	327	471
205	328	469
206	330	468
207	332	466
208	333	464
209	335	463
210	337	462
211	339	460
212	340	458
213	342	457
214	343	455
215	345	454
216	347	452
217	348	450
218	350	449
219	352	448
220	353	446
221	355	445
222	356	443
223	359	442
224	360	440
225	362	439
226	363	437
227	365	435
228	366	433
229	368	432
230	370	430
231	371	429
232	373	427
233	374	425
234	376	424
235	377	422
236	379	420
237	380	419
238	382	417
239	383	415
240	385	414
241	386	412
242	388	410
243	389	409
244	391	407
245	393	405
246	394	404
247	396	402
248	397	400
249	399	399
250	400	397
251	402	396
252	404	394
253	405	392
254	407	391
255	408	389
256	410	387
257	411	386
258	413	384
259	414	382
260	416	381
261	417	379
262	419	377
263	420	376
264	422	374
265	424	373
266	425	371
267	427	369
268	428	368
269	430	366
270	431	364
271	433	363
272	435	362
273	436	360
274	438	358
275	440	357
276	441	355
277	443	354
278	444	352
279	446	350
280	447	348
281	449	347
282	450	345
283	453	344
284	454	342
285	455	341
286	457	339
287	458	337
288	460	336
289	462	334
290	463	333
291	465	331
292	467	330
293	468	328
294	470	326
295	472	325
296	473	323
297	475	322
298	477	320
299	478	319
300	480	317
301	481	315
302	483	314
303	485	312
304	486	311
305	488	309
306	489	307
307	491	306
308	492	304
309	494	303
310	495	301
311	497	299
312	499	298
313	500	296
314	502	294
315	503	293
316	505	291
317	506	289
318	508	288
319	509	286
320	511	285
321	512	283
322	514	281
323	515	280
324	517	278
325	519	277
326	520	275
327	522	273
328	523	272
329	525	270
330	526	269
331	528	267
332	529	265
333	531	264
334	533	262
335	534	260
336	536	259
337	537	257
338	539	256
339	541	254
340	542	253
341	544	251
342	545	249
343	547	248
344	548	246
345	550	245
346	552	243
347	553	241
348	555	240
349	556	238
350	558	237
351	560	235
352	561	233
353	563	232
354	564	230
355	566	229
356	568	227
357	569	225
358	571	224
359	572	222
360	574	221
361	576	219
362	577	218
363	579	216
364	581	214
365	582	213
366	584	211
367	585	210
368	587	208
369	588	206
370	590	205
371	591	203
372	593	202
373	594	200
374	596	198
375	598	197
376	599	195
377	601	194
378	603	192
379	604	190
380	606	189
381	607	187
382	609	186
383	610	184
384	612	182
385	613	181
386	615	179
387	617	178
388	618	176
389	620	174
390	621	173
391	623	171
392	625	170
393	626	168
394	628	167
395	630	165
396	631	163
397	633	162
398	635	160
399	636	159
400	638	157
401	639	155
402	641	154
403	643	152
404	644	151
405	646	149
406	647	148
407	649	146
408	651	144
409	652	143
410	654	141
411	655	140
412	657	138
413	658	136
414	660	135
415	661	133
416	663	132
417	664	130
418	666	128
419	668	127
420	669	125
421	671	124
422	673	122
423	674	120
424	676	119
425	677	117
426	679	116
427	681	114
428	682	112
429	684	111
430	685	109
431	687	108
432	688	106
433	690	105
434	692	103
435	693	101
436	695	100
437	697	98
438	699	97
439	700	95
440	702	93
441	704	92
442	706	90
443	708	89
444	710	87
445	712	86
446	713	84
447	715	83
448	717	81
449	718	79
450	720	78
451	721	76
452	723	75
453	724	73
454	726	71
455	727	70
456	729	68
457	730	67
458	732	65
459	733	63
460	735	62
461	736	60
462	738	58
463	739	57
464	741	55
465	742	54
466	744	52
467	745	50
468	747	49
469	748	47
470	750	46
471	752	44
472	753	43
473	755	41
474	756	39
475	757	38
476	759	36
477	761	35
478	762	33
479	763	31
480	765	30
481	767	28
482	768	27
483	770	25
484	771	23
485	773	22
486	774	20
487	776	19
488	777	17
489	779	15
490	780	14
491	782	12
492	783	11
493	785	9
494	786	7
495	788	6
496	789	4
497	791	3
498	792	1
499	794	0
